Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene type	Gene name	Strand
ENSMUSG00000064372	MT	15356	15422	Mt_tRNA	mt-Tp	-1
ENSMUSG00000064371	MT	15289	15355	Mt_tRNA	mt-Tt	1
ENSMUSG00000064370	MT	14145	15288	protein_coding	mt-Cytb	1
ENSMUSG00000064369	MT	14071	14139	Mt_tRNA	mt-Te	-1
ENSMUSG00000064368	MT	13552	14070	protein_coding	mt-Nd6	-1
ENSMUSG00000064367	MT	11742	13565	protein_coding	mt-Nd5	1
ENSMUSG00000064366	MT	11671	11741	Mt_tRNA	mt-Tl2	1
ENSMUSG00000064365	MT	11613	11671	Mt_tRNA	mt-Ts2	1
ENSMUSG00000064364	MT	11546	11612	Mt_tRNA	mt-Th	1
ENSMUSG00000064363	MT	10167	11544	protein_coding	mt-Nd4	1
ENSMUSG00000065947	MT	9877	10173	protein_coding	mt-Nd4l	1
ENSMUSG00000064361	MT	9808	9875	Mt_tRNA	mt-Tr	1
ENSMUSG00000064360	MT	9459	9806	protein_coding	mt-Nd3	1
ENSMUSG00000064359	MT	9391	9458	Mt_tRNA	mt-Tg	1
ENSMUSG00000064358	MT	8607	9390	protein_coding	mt-Co3	1
ENSMUSG00000064357	MT	7927	8607	protein_coding	mt-Atp6	1
ENSMUSG00000064356	MT	7766	7969	protein_coding	mt-Atp8	1
ENSMUSG00000064355	MT	7700	7764	Mt_tRNA	mt-Tk	1
ENSMUSG00000064354	MT	7013	7696	protein_coding	mt-Co2	1
ENSMUSG00000064353	MT	6942	7011	Mt_tRNA	mt-Td	1
ENSMUSG00000064352	MT	6870	6938	Mt_tRNA	mt-Ts1	-1
ENSMUSG00000064351	MT	5328	6872	protein_coding	mt-Co1	1
ENSMUSG00000064350	MT	5260	5326	Mt_tRNA	mt-Ty	-1
ENSMUSG00000064349	MT	5192	5257	Mt_tRNA	mt-Tc	-1
ENSMUSG00000064348	MT	5089	5159	Mt_tRNA	mt-Tn	-1
ENSMUSG00000064347	MT	5018	5086	Mt_tRNA	mt-Ta	-1
ENSMUSG00000064346	MT	4950	5016	Mt_tRNA	mt-Tw	1
ENSMUSG00000064345	MT	3914	4951	protein_coding	mt-Nd2	1
ENSMUSG00000064344	MT	3845	3913	Mt_tRNA	mt-Tm	1
ENSMUSG00000064343	MT	3772	3842	Mt_tRNA	mt-Tq	-1
ENSMUSG00000064342	MT	3706	3774	Mt_tRNA	mt-Ti	1
ENSMUSG00000064341	MT	2751	3707	protein_coding	mt-Nd1	1
ENSMUSG00000064340	MT	2676	2750	Mt_tRNA	mt-Tl1	1
ENSMUSG00000064339	MT	1094	2675	Mt_rRNA	mt-Rnr2	1
ENSMUSG00000064338	MT	1025	1093	Mt_tRNA	mt-Tv	1
ENSMUSG00000064337	MT	70	1024	Mt_rRNA	mt-Rnr1	1
ENSMUSG00000064336	MT	1	68	Mt_tRNA	mt-Tf	1
ENSMUSG00000077642	10	72527550	72527682	snoRNA	Gm24984	1
ENSMUSG00000065208	16	23111617	23111755	snoRNA	Gm24616	1
ENSMUSG00000065678	13	100604359	100604462	snRNA	Gm24261	1
ENSMUSG00000093914	2	10497548	10497668	miRNA	Gm22166	1
ENSMUSG00000076399	X	53048299	53048367	miRNA	Mir450-2	-1
ENSMUSG00000096305	7	59733770	59733863	snoRNA	Gm23047	-1
ENSMUSG00000088353	1	57467870	57468026	snRNA	Gm24014	1
ENSMUSG00000087744	9	70799556	70799637	miRNA	Gm25149	-1
ENSMUSG00000088440	18	56192999	56193133	snoRNA	Gm23555	1
ENSMUSG00000098676	18	88972030	88972110	miRNA	Mir6359	1
ENSMUSG00000093000	3	118434721	118434830	miRNA	Gm24155	1
ENSMUSG00000080370	4	56761922	56762041	snoRNA	Gm22952	-1
ENSMUSG00000098359	6	128974840	128974895	miRNA	Mir7649	-1
ENSMUSG00000084496	10	78370013	78370320	misc_RNA	Gm22514	-1
